label;name;latex_short;latex_long;units;order;valid;age_shift
'cross_covariance_ξηζ_matrix_det_robust';['ξηζ Cross-Covariance Matrix Determinant (robust)'];['Det.${{}}_{{ξ^\\prime \\dot{ξ}^\\prime η^\\prime \\dot{η}^\\prime ζ^\\prime \\dot{ζ}^\\prime}}$ (robust)'];['Determinant${{}}_{{ξ^\\prime \\dot{ξ}^\\prime η^\\prime \\dot{η}^\\prime ζ^\\prime \\dot{ζ}^\\prime}}$ (robust)'];['pc'];31;[False];[0.3]
'cross_covariance_ξηζ_matrix_trace_robust';['ξηζ Cross-Covariance Matrix Trace (robust)'];['Trace${{}}_{{ξ^\\prime \\dot{ξ}^\\prime η^\\prime \\dot{η}^\\prime ζ^\\prime \\dot{ζ}^\\prime}}$ (robust)'];['Trace${{}}_{{ξ^\\prime \\dot{ξ}^\\prime η^\\prime \\dot{η}^\\prime ζ^\\prime \\dot{ζ}^\\prime}}$ (robust)'];['pc'];32;[False];[0.14]
'cross_covariance_ξηζ_sklearn';['ξ-vξ Cross-Covariance (sklearn)','η-vη Cross-Covariance (sklearn)','ζ-vζ Cross-Covariance (sklearn)'];['$ξ^\\prime-\\dot{ξ}^\\prime$ (sklearn)','$η^\\prime-\\dot{η}^\\prime$ (sklearn)','$ζ^\\prime-\\dot{ζ}^\\prime$ (sklearn)'];['$ξ^\\prime-\\dot{ξ}^\\prime$ Cross-Covariance (sklearn)','$η^\\prime-\\dot{η}^\\prime$ Cross-Covariance (sklearn)','$ζ^\\prime-\\dot{ζ}^\\prime$ Cross-Covariance (sklearn)'];['pc/Myr$^{1/2}$', 'pc/Myr$^{1/2}$', 'pc/Myr$^{1/2}$'];33;[False,False,False];[0.,0.,0.]
'cross_covariance_ξηζ_matrix_det_sklearn';['ξηζ Cross-Covariance Matrix Determinant (sklearn)'];['Det.${{}}_{{ξ^\\prime \\dot{ξ}^\\prime η^\\prime \\dot{η}^\\prime ζ^\\prime \\dot{ζ}^\\prime}}$ (sklearn)'];['Determinant${{}}_{{ξ^\\prime \\dot{ξ}^\\prime η^\\prime \\dot{η}^\\prime ζ^\\prime \\dot{ζ}^\\prime}}$ (sklearn)'];['pc'];34;[False];[0.0]
'cross_covariance_ξηζ_matrix_trace_sklearn';['ξηζ Cross-Covariance Matrix Trace (sklearn)'];['Trace${{}}_{{ξ^\\prime \\dot{ξ}^\\prime η^\\prime \\dot{η}^\\prime ζ^\\prime \\dot{ζ}^\\prime}}$ (sklearn)'];['Trace${{}}_{{ξ^\\prime \\dot{ξ}^\\prime η^\\prime \\dot{η}^\\prime ζ^\\prime \\dot{ζ}^\\prime}}$ (sklearn)'];['pc'];35;[False];[0.0]
'mad_xyz';['X MAD','Y MAD','Z MAD'];['MAD${{}}_{{X}}$','MAD${{}}_{{Y}}$','MAD${{}}_{{Z}}$'];['MAD${{}}_{{X}}$','MAD${{}}_{{Y}}$','MAD${{}}_{{Z}}$'];['pc', 'pc', 'pc'];36;[False,False,False];[0.93,0.28,0.13]
'mad_xyz_total';['XYZ Total MAD'];['MAD${{}}_{{XYZ}}$'];['MAD${{}}_{{XYZ}}$'];['pc'];37;[False];[0.4]
'mad_ξηζ';['ξ MAD','η MAD','ζ MAD'];['MAD${{}}_{{ξ^\\prime}}$','MAD${{}}_{{η^\\prime}}$','MAD${{}}_{{ζ^\\prime}}$'];['MAD${{}}_{{ξ^\\prime}}$','MAD${{}}_{{η^\\prime}}$','MAD${{}}_{{ζ^\\prime}}$'];['pc', 'pc', 'pc'];38;[False,False,False];[0.53,0.84,0.13]
'mad_ξηζ_total';['ξηζ Total MAD'];['MAD${{}}_{{ξ^\\prime η^\\prime ζ^\\prime}}$'];['MAD${{}}_{{ξ^\\prime η^\\prime ζ^\\prime}}$'];['pc'];39;[False];[0.48]
'mst_xyz_mean';['XYZ MST Mean'];['MST${{}}_{{XYZ}}$ Mean'];['MST${{}}_{{XYZ}}$ Mean'];['pc'];40;[False];[0.26]
